company,avg_salary($),salary_type
Convergint_Technologies%2C_LLC,69,year
Convergys_Corporation,14,hour
Convey,N/A,year
Conviva,17,hour
Convo_Communications,63,year
Copyright_Clearance_Center%2C_Inc.,N/A,year
Coram_Specialty_Infusion_Services,19,hour
Core_Bts,87,year
Core_Solutions_Inc,N/A,year
Core_Technology_Solutions,N/A,year
CoreSys_Consulting_Services,N/A,hour
Corel_Corporation,78,year
Corelogic%2C_Inc.,90,year
Cornerstone_OnDemand,112,year
Corning_Cable_Systems,75,year
Corporate_IT_Solutions,N/A,hour
Corporation_Service_Company,45,year
Corporation_Services_Company,N/A,year
Corptax%2C_LLC,N/A,year
Corrigo_Incorporated,N/A,year
Cost_U_Less,N/A,hour
Costar_Group%2C_Inc.,90,year
Cotiviti,93,year
Cotsworks,N/A,year
Cott_Systems,N/A,year
Cougar_Mountain_Software,N/A,year
County_of_Fresno,N/A,hour
County_of_Morris,N/A,hour
County_of_Webb,N/A,hour
Covenant_Eyes,N/A,year
Covestic,N/A,year
Coworx_Staffing_LLC,60,year
Cox_Auto_Trader,N/A,year
Cox_Automation,N/A,year
Cox_Communications%2C_Inc.,90,year
Cox_Enterprises,93,year
CradlePoint,96,year
Cray%2C_Inc.,99,year
Credence_Management_Solutions,79,year
Credit_Karma,144,year
Cricket_Communications%2C_Inc.,N/A,year
Cricket_Wireless,12,hour
Criteo,92,year
Crosscom_National_LLC,N/A,hour
Crown_Castle_International_Corp,90,year
Cryptic_Studios,N/A,year
Crystal_D,N/A,year
